Altitude	Mach	PSFC	SHP	Throttle
0	0.01	0.265825904	2080.229158	1
1034.482759	0.01	0.259778102	2080.229158	1
2068.965517	0.01	0.256001838	2062.578224	1
3103.448276	0.01	0.254174258	2029.530096	1
4137.931034	0.01	0.252371418	1996.61063	1
5172.413793	0.01	0.250592955	1963.827234	1
6206.896552	0.01	0.248838514	1931.187219	1
7241.37931	0.01	0.24710774	1898.697816	1
8275.862069	0.01	0.245400282	1866.366184	1
9310.344828	0.01	0.243715783	1834.199441	1
10344.82759	0.01	0.242053881	1802.204676	1
11379.31034	0.01	0.240414202	1770.388988	1
12413.7931	0.01	0.238915811	1737.890125	1
13448.27586	0.01	0.237336719	1706.339336	1
14482.75862	0.01	0.235781539	1674.971388	1
15517.24138	0.01	0.23425035	1643.790566	1
16551.72414	0.01	0.232743296	1612.800748	1
17586.2069	0.01	0.231260602	1582.005342	1
18620.68966	0.01	0.229802591	1551.407195	1
19655.17241	0.01	0.228262995	1521.719542	1
20689.65517	0.01	0.22683325	1491.660319	1
21724.13793	0.01	0.225424535	1461.83352	1
22758.62069	0.01	0.22403637	1432.246317	1
23793.10345	0.01	0.222668126	1402.906653	1
24827.58621	0.01	0.221431561	1373.124928	1
25862.06897	0.01	0.220132831	1344.120921	1
26896.55172	0.01	0.218861049	1315.339195	1
27931.03448	0.01	0.217511038	1287.407755	1
28965.51724	0.01	0.216259268	1259.27495	1
30000	0.01	0.215025405	1231.426852	1
0	0.05	0.266013397	2080.229158	1
1034.482759	0.05	0.259961076	2080.229158	1
2068.965517	0.05	0.255795616	2065.692958	1
3103.448276	0.05	0.253972953	2032.565287	1
4137.931034	0.05	0.252174919	1999.567713	1
5172.413793	0.05	0.250401157	1966.707633	1
6206.896552	0.05	0.24865131	1933.992348	1
7241.37931	0.05	0.246925028	1901.429077	1
8275.862069	0.05	0.245221961	1869.024974	1
9310.344828	0.05	0.243541754	1836.787146	1
10344.82759	0.05	0.241884045	1804.72268	1
11379.31034	0.05	0.240248462	1772.838669	1
12413.7931	0.05	0.238755022	1740.264149	1
13448.27586	0.05	0.237179978	1708.646615	1
14482.75862	0.05	0.235628775	1677.213114	1
15517.24138	0.05	0.234101497	1645.967903	1
16551.72414	0.05	0.232598292	1614.914828	1
17586.2069	0.05	0.23111939	1584.057262	1
18620.68966	0.05	0.22966512	1553.398013	1
19655.17241	0.05	0.228128127	1523.658906	1
20689.65517	0.05	0.226701804	1493.542281	1
21724.13793	0.05	0.225296423	1463.659373	1
22758.62069	0.05	0.223911503	1434.017381	1
23793.10345	0.05	0.222546405	1404.624292	1
24827.58621	0.05	0.221314303	1374.780493	1
25862.06897	0.05	0.220018917	1345.723189	1
26896.55172	0.05	0.218750481	1316.888907	1
27931.03448	0.05	0.217402234	1288.916086	1
28965.51724	0.05	0.216153277	1260.735523	1
30000	0.05	0.21492207	1232.841325	1
0	0.12	0.266943929	2080.229158	1
1034.482759	0.12	0.260869183	2080.229158	1
2068.965517	0.12	0.254894229	2080.229158	1
3103.448276	0.12	0.252980336	2047.648176	1
4137.931034	0.12	0.251205941	2014.262185	1
5172.413793	0.12	0.249455291	1981.020781	1
6206.896552	0.12	0.247728043	1947.931214	1
7241.37931	0.12	0.246023856	1915.000655	1
8275.862069	0.12	0.244342388	1882.236217	1
9310.344828	0.12	0.242683292	1849.644972	1
10344.82759	0.12	0.241046212	1817.23398	1
11379.31034	0.12	0.239540402	1784.193436	1
