Altitude	Mach	PSFC	SHP	Throttle
0	0.01	0.269647692	2139.280824	1
1034.482759	0.01	0.263521892	2139.280824	1
2068.965517	0.01	0.257496647	2139.280824	1
3103.448276	0.01	0.251570981	2139.280824	1
4137.931034	0.01	0.24574392	2139.280824	1
5172.413793	0.01	0.24169313	2124.42278	1
6206.896552	0.01	0.240074907	2088.549392	1
7241.37931	0.01	0.238477757	2052.866114	1
8275.862069	0.01	0.236901358	2017.380278	1
9310.344828	0.01	0.235345375	1982.099232	1
10344.82759	0.01	0.233927331	1946.049273	1
11379.31034	0.01	0.232427985	1911.072517	1
12413.7931	0.01	0.230950751	1876.303426	1
13448.27586	0.01	0.22949572	1841.746335	1
14482.75862	0.01	0.228063046	1807.405149	1
15517.24138	0.01	0.226652954	1773.283279	1
16551.72414	0.01	0.225265762	1739.383552	1
17586.2069	0.01	0.223798006	1706.499917	1
18620.68966	0.01	0.222436422	1673.20171	1
19655.17241	0.01	0.221094321	1640.162853	1
20689.65517	0.01	0.219771273	1607.390775	1
21724.13793	0.01	0.21846671	1574.893704	1
22758.62069	0.01	0.217287459	1541.917151	1
23793.10345	0.01	0.216047758	1509.798292	1
24827.58621	0.01	0.214833055	1477.927438	1
25862.06897	0.01	0.21354468	1446.97889	1
26896.55172	0.01	0.212348819	1415.818884	1
27931.03448	0.01	0.211169852	1384.971125	1
28965.51724	0.01	0.210132021	1353.638019	1
30000	0.01	0.209036836	1323.121467	1
0	0.05	0.26983727	2139.280824	1
1034.482759	0.05	0.263706897	2139.280824	1
2068.965517	0.05	0.257677156	2139.280824	1
3103.448276	0.05	0.251747072	2139.280824	1
4137.931034	0.05	0.245915667	2139.280824	1
5172.413793	0.05	0.241516608	2127.45898	1
6206.896552	0.05	0.239902529	2091.506161	1
7241.37931	0.05	0.238309431	2055.744955	1
8275.862069	0.05	0.236736993	2020.182689	1
9310.344828	0.05	0.235289077	1983.947759	1
10344.82759	0.05	0.233771563	1948.693466	1
11379.31034	0.05	0.232276053	1913.643448	1
12413.7931	0.05	0.23080259	1878.802384	1
13448.27586	0.05	0.22935127	1844.174578	1
