Altitude	Mach	PSFC	SHP	Throttle
0	0.01	0.293374923	2439.907489	1
862.0689655	0.01	0.287858545	2439.907489	1
1724.137931	0.01	0.282417254	2439.907489	1
2586.206897	0.01	0.277050431	2439.907489	1
3448.275862	0.01	0.27175746	2439.907489	1
4310.344828	0.01	0.266537727	2439.907489	1
5172.413793	0.01	0.261390618	2439.907489	1
6034.482759	0.01	0.256315518	2439.907489	1
6896.551724	0.01	0.251311816	2439.907489	1
7758.62069	0.01	0.2463789	2439.907489	1
8620.689655	0.01	0.241516161	2439.907489	1
9482.758621	0.01	0.236722989	2439.907489	1
10344.82759	0.01	0.231998777	2439.907489	1
11206.89655	0.01	0.227342918	2439.907489	1
12068.96552	0.01	0.222754807	2439.907489	1
12931.03448	0.01	0.21823384	2439.907489	1
13793.10345	0.01	0.214621652	2430.332582	1
14655.17241	0.01	0.213706389	2390.637449	1
15517.24138	0.01	0.212706075	2352.290223	1
16379.31034	0.01	0.21179629	2313.337537	1
17241.37931	0.01	0.210896511	2274.682968	1
18103.44828	0.01	0.210104373	2235.289734	1
18965.51724	0.01	0.209253932	2196.944126	1
19827.58621	0.01	0.208421282	2158.831387	1
20689.65517	0.01	0.207484903	2122.199369	1
21551.72414	0.01	0.206644931	2084.984765	1
22413.7931	0.01	0.205947685	2046.765313	1
23275.86207	0.01	0.205061039	2010.855121	1
24137.93103	0.01	0.204367022	1973.481273	1
25000	0.01	0.203516227	1938.04943	1
0	0.05	0.293577474	2439.907489	1
862.0689655	0.05	0.28805701	2439.907489	1
1724.137931	0.05	0.282611691	2439.907489	1
2586.206897	0.05	0.277240898	2439.907489	1
3448.275862	0.05	0.271944015	2439.907489	1
4310.344828	0.05	0.266720427	2439.907489	1
5172.413793	0.05	0.261569518	2439.907489	1
6034.482759	0.05	0.256490676	2439.907489	1
6896.551724	0.05	0.251483288	2439.907489	1
7758.62069	0.05	0.246546741	2439.907489	1
8620.689655	0.05	0.241680426	2439.907489	1
9482.758621	0.05	0.236883732	2439.907489	1
10344.82759	0.05	0.232156053	2439.907489	1
11206.89655	0.05	0.22749678	2439.907489	1
12068.96552	0.05	0.222905309	2439.907489	1
12931.03448	0.05	0.218381034	2439.907489	1
13793.10345	0.05	0.21451302	2433.20051	1
14655.17241	0.05	0.213600179	2393.433728	1
15517.24138	0.05	0.21260079	2355.034075	1
16379.31034	0.05	0.211693058	2316.0156	1
17241.37931	0.05	0.210795253	2277.296874	1
18103.44828	0.05	0.210006719	2237.821235	1
18965.51724	0.05	0.209158629	2199.408862	1
19827.58621	0.05	0.208328398	2161.229439	1
20689.65517	0.05	0.207392048	2124.557962	1
21551.72414	0.05	0.206649644	2086.317561	1
22413.7931	0.05	0.205861042	2048.979694	1
23275.86207	0.05	0.204974032	2013.035192	1
24137.93103	0.05	0.204284426	1975.578334	1
25000	0.05	0.203432912	1940.116324	1
0	0.12	0.294582759	2439.907489	1
862.0689655	0.12	0.289042013	2439.907489	1
1724.137931	0.12	0.283576701	2439.907489	1
2586.206897	0.12	0.278186204	2439.907489	1
3448.275862	0.12	0.272869904	2439.907489	1
4310.344828	0.12	0.267627181	2439.907489	1
5172.413793	0.12	0.262457421	2439.907489	1
6034.482759	0.12	0.257360006	2439.907489	1
6896.551724	0.12	0.252334321	2439.907489	1
7758.62069	0.12	0.247379754	2439.907489	1
8620.689655	0.12	0.24249569	2439.907489	1
9482.758621	0.12	0.237681519	2439.907489	1
10344.82759	0.12	0.23293663	2439.907489	1
11206.89655	0.12	0.228260414	2439.907489	1
12068.96552	0.12	0.223652263	2439.907489	1
12931.03448	0.12	0.219111569	2439.907489	1
13793.10345	0.12	0.214637728	2439.907489	1
14655.17241	0.12	0.213076102	2407.318693	1
15517.24138	0.12	0.212080933	2368.662422	1
16379.31034	0.12	0.21118328	2329.31742	1
17241.37931	0.12	0.210295157	2290.280443	1
18103.44828	0.12	0.209524832	2250.39035	1
18965.51724	0.12	0.208688413	2211.645344	1
19827.58621	0.12	0.207770428	2174.177188	1
20689.65517	0.12	0.206933314	2136.2733	1
21551.72414	0.12	0.20621011	2097.629842	1
22413.7931	0.12	0.205433792	2059.969677	1
23275.86207	0.12	0.204543958	2023.865141	1
24137.93103	0.12	0.203877292	1985.984088	1
25000	0.12	0.203020775	1950.38645	1
0	0.15	0.295267946	2439.907489	1
862.0689655	0.15	0.289713376	2439.907489	1
1724.137931	0.15	0.284234439	2439.907489	1
2586.206897	0.15	0.278830513	2439.907489	1
3448.275862	0.15	0.273500977	2439.907489	1
4310.344828	0.15	0.268245214	2439.907489	1
5172.413793	0.15	0.263062604	2439.907489	1
6034.482759	0.15	0.257952529	2439.907489	1
6896.551724	0.15	0.252914375	2439.907489	1
7758.62069	0.15	0.247947524	2439.907489	1
8620.689655	0.15	0.243051363	2439.907489	1
9482.758621	0.15	0.23822528	2439.907489	1
10344.82759	0.15	0.233468661	2439.907489	1
11206.89655	0.15	0.228780896	2439.907489	1
12068.96552	0.15	0.224161375	2439.907489	1
12931.03448	0.15	0.219609491	2439.907489	1
13793.10345	0.15	0.215124636	2439.907489	1
14655.17241	0.15	0.212721795	2416.788771	1
15517.24138	0.15	0.211729135	2377.96123	1
16379.31034	0.15	0.210838247	2338.393686	1
17241.37931	0.15	0.209956607	2299.13999	1
18103.44828	0.15	0.209199027	2258.961897	1
18965.51724	0.15	0.208370572	2219.98891	1
19827.58621	0.15	0.207453916	2182.370768	1
20689.65517	0.15	0.206622627	2144.267518	1
21551.72414	0.15	0.205913071	2105.341756	1
22413.7931	0.15	0.205047957	2068.440582	1
23275.86207	0.15	0.204252434	2031.256743	1
24137.93103	0.15	0.203602507	1993.073717	1
25000	0.15	0.202838699	1956.456523	1
0	0.18	0.296106407	2439.907489	1
862.0689655	0.18	0.290534922	2439.907489	1
1724.137931	0.18	0.28503931	2439.907489	1
2586.206897	0.18	0.279618951	2439.907489	1
3448.275862	0.18	0.27427322	2439.907489	1
4310.344828	0.18	0.269001498	2439.907489	1
5172.413793	0.18	0.263803164	2439.907489	1
6034.482759	0.18	0.258677599	2439.907489	1
6896.551724	0.18	0.253624184	2439.907489	1
7758.62069	0.18	0.248642303	2439.907489	1
8620.689655	0.18	0.243731339	2439.907489	1
9482.758621	0.18	0.238890677	2439.907489	1
10344.82759	0.18	0.234119704	2439.907489	1
11206.89655	0.18	0.229417807	2439.907489	1
12068.96552	0.18	0.224784373	2439.907489	1
12931.03448	0.18	0.220218794	2439.907489	1
13793.10345	0.18	0.215720461	2439.907489	1
14655.17241	0.18	0.212193836	2429.500542	1
15517.24138	0.18	0.21130139	2389.351166	1
16379.31034	0.18	0.210418664	2349.511361	1
17241.37931	0.18	0.209544824	2309.992747	1
18103.44828	0.18	0.208803241	2269.45568	1
18965.51724	0.18	0.20798455	2230.202233	1
19827.58621	0.18	0.207068908	2192.40682	1
20689.65517	0.18	0.206244564	2154.060537	1
21551.72414	0.18	0.205552401	2114.780082	1
22413.7931	0.18	0.204687236	2077.718137	1
23275.86207	0.18	0.203996947	2039.31781	1
24137.93103	0.18	0.203168596	2002.737442	1
25000	0.18	0.202512265	1964.904146	1
0	0.22	0.297463841	2439.907489	1
862.0689655	0.22	0.291864971	2439.907489	1
1724.137931	0.22	0.286342366	2439.907489	1
2586.206897	0.22	0.280895402	2439.907489	1
3448.275862	0.22	0.275523453	2439.907489	1
4310.344828	0.22	0.270225895	2439.907489	1
5172.413793	0.22	0.265002105	2439.907489	1
6034.482759	0.22	0.25985146	2439.907489	1
6896.551724	0.22	0.25477334	2439.907489	1
7758.62069	0.22	0.249767124	2439.907489	1
8620.689655	0.22	0.244832194	2439.907489	1
9482.758621	0.22	0.239967931	2439.907489	1
10344.82759	0.22	0.235173718	2439.907489	1
11206.89655	0.22	0.23044894	2439.907489	1
12068.96552	0.22	0.225792982	2439.907489	1
12931.03448	0.22	0.221205231	2439.907489	1
13793.10345	0.22	0.216685075	2439.907489	1
14655.17241	0.22	0.212231903	2439.907489	1
15517.24138	0.22	0.210615189	2407.817001	1
16379.31034	0.22	0.209745396	2367.5367	1
17241.37931	0.22	0.20898945	2326.414082	1
18103.44828	0.22	0.208169221	2286.455142	1
18965.51724	0.22	0.207271161	2247.776343	1
19827.58621	0.22	0.20645084	2208.677909	1
20689.65517	0.22	0.205738077	2168.877615	1
21551.72414	0.22	0.204975106	2130.06187	1
22413.7931	0.22	0.2041077	2092.761776	1
23275.86207	0.22	0.203446102	2053.795365	1
24137.93103	0.22	0.20261353	2017.001622	1
25000	0.22	0.201991153	1978.565946	1
0	0.25	0.298662479	2439.907489	1
862.0689655	0.25	0.293039428	2439.907489	1
1724.137931	0.25	0.287492989	2439.907489	1
2586.206897	0.25	0.282022534	2439.907489	1
3448.275862	0.25	0.276627433	2439.907489	1
4310.344828	0.25	0.271307062	2439.907489	1
