Altitude	Mach	PSFC	SHP	Throttle
0	0.01	0.274497512	2415.749989	1
862.0689655	0.01	0.269320473	2415.749989	1
1724.137931	0.01	0.264214055	2415.749989	1
2586.206897	0.01	0.25917768	2415.749989	1
3448.275862	0.01	0.254210771	2415.749989	1
4310.344828	0.01	0.249312753	2415.749989	1
5172.413793	0.01	0.244483049	2415.749989	1
6034.482759	0.01	0.239721087	2415.749989	1
6896.551724	0.01	0.23502629	2415.749989	1
7758.62069	0.01	0.230398088	2415.749989	1
8620.689655	0.01	0.225835907	2415.749989	1
9482.758621	0.01	0.224593755	2380.743458	1
10344.82759	0.01	0.223422186	2345.308133	1
11206.89655	0.01	0.222349808	2309.167666	1
12068.96552	0.01	0.221289541	2273.248386	1
12931.03448	0.01	0.2202412	2237.55507	1
13793.10345	0.01	0.219204557	2202.092833	1
14655.17241	0.01	0.218179327	2166.867252	1
15517.24138	0.01	0.217262038	2130.933792	1
16379.31034	0.01	0.216279246	2096.010469	1
17241.37931	0.01	0.215311463	2061.301843	1
18103.44828	0.01	0.214359275	2026.806284	1
18965.51724	0.01	0.21342344	1992.520791	1
19827.58621	0.01	0.212387188	1959.526475	1
20689.65517	0.01	0.211454313	1925.93098	1
21551.72414	0.01	0.21053148	1892.608101	1
22413.7931	0.01	0.209739283	1858.490655	1
23275.86207	0.01	0.208874484	1825.401626	1
24137.93103	0.01	0.207914411	1793.508323	1
25000	0.01	0.207045474	1761.189845	1
0	0.05	0.27468831	2415.749989	1
862.0689655	0.05	0.269507424	2415.749989	1
1724.137931	0.05	0.264397212	2415.749989	1
2586.206897	0.05	0.259357099	2415.749989	1
3448.275862	0.05	0.254386506	2415.749989	1
4310.344828	0.05	0.249484856	2415.749989	1
5172.413793	0.05	0.244651576	2415.749989	1
6034.482759	0.05	0.239886088	2415.749989	1
6896.551724	0.05	0.235187819	2415.749989	1
7758.62069	0.05	0.230556196	2415.749989	1
8620.689655	0.05	0.225990646	2415.749989	1
9482.758621	0.05	0.224461153	2383.779565	1
10344.82759	0.05	0.223291309	2348.285644	1
11206.89655	0.05	0.222221496	2312.076605	1
12068.96552	0.05	0.221163745	2276.089941	1
12931.03448	0.05	0.22011787	2240.330442	1
13793.10345	0.05	0.219083641	2204.803249	1
