Altitude	Mach	PSFC	SHP	Throttle
0	0.01	0.266677805	2684.166655	1
862.0689655	0.01	0.261663418	2684.166655	1
1724.137931	0.01	0.256717284	2684.166655	1
2586.206897	0.01	0.251838842	2684.166655	1
3448.275862	0.01	0.247027531	2684.166655	1
4310.344828	0.01	0.242282794	2684.166655	1
5172.413793	0.01	0.237604071	2684.166655	1
6034.482759	0.01	0.232990806	2684.166655	1
6896.551724	0.01	0.22844244	2684.166655	1
7758.62069	0.01	0.22395842	2684.166655	1
8620.689655	0.01	0.220358459	2674.175028	1
9482.758621	0.01	0.219350476	2633.147666	1
10344.82759	0.01	0.21835332	2592.383535	1
11206.89655	0.01	0.217366698	2551.889011	1
12068.96552	0.01	0.216496346	2510.440167	1
12931.03448	0.01	0.215551838	2470.266025	1
13793.10345	0.01	0.214621652	2430.332582	1
14655.17241	0.01	0.213706389	2390.637449	1
15517.24138	0.01	0.212706075	2352.290223	1
16379.31034	0.01	0.21179629	2313.337537	1
17241.37931	0.01	0.210896511	2274.682968	1
18103.44828	0.01	0.210104373	2235.289734	1
18965.51724	0.01	0.209253932	2196.944126	1
19827.58621	0.01	0.208421282	2158.831387	1
20689.65517	0.01	0.207484903	2122.199369	1
21551.72414	0.01	0.206644931	2084.984765	1
22413.7931	0.01	0.205947685	2046.765313	1
23275.86207	0.01	0.205061039	2010.855121	1
24137.93103	0.01	0.204367022	1973.481273	1
25000	0.01	0.203516227	1938.04943	1
0	0.05	0.266861924	2684.166655	1
862.0689655	0.05	0.261843822	2684.166655	1
1724.137931	0.05	0.256894027	2684.166655	1
2586.206897	0.05	0.252011976	2684.166655	1
3448.275862	0.05	0.247197109	2684.166655	1
4310.344828	0.05	0.242448868	2684.166655	1
5172.413793	0.05	0.237766692	2684.166655	1
6034.482759	0.05	0.233150025	2684.166655	1
6896.551724	0.05	0.228598308	2684.166655	1
7758.62069	0.05	0.224110988	2684.166655	1
8620.689655	0.05	0.22023455	2677.49942	1
9482.758621	0.05	0.219228922	2636.396633	1
10344.82759	0.05	0.218234072	2595.558465	1
11206.89655	0.05	0.217249699	2554.991332	1
12068.96552	0.05	0.216382879	2513.453623	1
12931.03448	0.05	0.215440789	2473.206312	1
13793.10345	0.05	0.21451302	2433.20051	1
14655.17241	0.05	0.213600179	2393.433728	1
15517.24138	0.05	0.21260079	2355.034075	1
16379.31034	0.05	0.211693058	2316.0156	1
17241.37931	0.05	0.210795253	2277.296874	1
18103.44828	0.05	0.210006719	2237.821235	1
18965.51724	0.05	0.209158629	2199.408862	1
19827.58621	0.05	0.208328398	2161.229439	1
20689.65517	0.05	0.207392048	2124.557962	1
21551.72414	0.05	0.206649644	2086.317561	1
22413.7931	0.05	0.205861042	2048.979694	1
23275.86207	0.05	0.204974032	2013.035192	1
24137.93103	0.05	0.204284426	1975.578334	1
25000	0.05	0.203432912	1940.116324	1
0	0.12	0.267775728	2684.166655	1
862.0689655	0.12	0.262739189	2684.166655	1
1724.137931	0.12	0.257771221	2684.166655	1
2586.206897	0.12	0.25287126	2684.166655	1
3448.275862	0.12	0.248038742	2684.166655	1
4310.344828	0.12	0.243273108	2684.166655	1
5172.413793	0.12	0.238573795	2684.166655	1
6034.482759	0.12	0.233940245	2684.166655	1
6896.551724	0.12	0.229371898	2684.166655	1
7758.62069	0.12	0.224868196	2684.166655	1
8620.689655	0.12	0.220428582	2684.166655	1
9482.758621	0.12	0.21862888	2652.53574	1
10344.82759	0.12	0.217645366	2611.329789	1
11206.89655	0.12	0.216672056	2570.402036	1
12068.96552	0.12	0.215822919	2528.419282	1
