Altitude,FR,F_prop,Mach,Ratio,eta
0,1071.568243,17851.96738,0.2,0.060025219,1
862.0689655,1062.803793,17846.93029,0.2,0.05955107,1
1724.137931,1054.033437,17840.7002,0.2,0.059080273,1
2586.206897,1045.258924,17833.24887,0.2,0.058612928,1
3448.275862,1036.482009,17736.99333,0.2,0.058436173,1
4310.344828,1027.704463,17508.15179,0.2,0.058698627,1
5172.413793,1018.928077,17279.60372,0.2,0.058967097,1
6034.482759,1010.154671,17051.39156,0.2,0.059241773,1
6896.551724,1001.386102,16823.55769,0.2,0.05952285,1
7758.62069,992.6242744,16596.14453,0.2,0.059810534,1
8620.689655,983.8711548,16369.19456,0.2,0.060105044,1
9482.758621,975.1287836,16142.75043,0.2,0.060406607,1
10344.82759,966.3992956,15916.85499,0.2,0.060715468,1
11206.89655,956.906534,15684.72772,0.2,0.061008808,1
12068.96552,948.1132247,15459.33862,0.2,0.061329482,1
12931.03448,939.3261334,15234.53935,0.2,0.061657666,1
13793.10345,930.5457533,15010.3619,0.2,0.061993559,1
14655.17241,921.7724086,14786.83707,0.2,0.062337362,1
15517.24138,913.0062216,14563.99431,0.2,0.062689273,1
16379.31034,904.2470715,14341.86148,0.2,0.063049491,1
17241.37931,895.4945421,14120.46464,0.2,0.063418206,1
18103.44828,886.7478561,13899.82771,0.2,0.063795601,1
18965.51724,878.7914051,13685.85688,0.2,0.064211647,1
19827.58621,870.1931328,13467.725,0.2,0.064613224,1
20689.65517,861.6239896,13250.57467,0.2,0.065025405,1
21551.72414,853.0872661,13034.45074,0.2,0.065448655,1
22413.7931,844.5868728,12819.40076,0.2,0.065883491,1
23275.86207,836.1275398,12605.47586,0.2,0.066330502,1
24137.93103,826.8501191,12386.99712,0.2,0.066751458,1
25000,818.2821153,12174.25973,0.2,0.067214117,1
0,858.2597761,12877.14851,0.3,0.066649831,1
862.0689655,855.0417072,12897.54394,0.3,0.066294925,1
1724.137931,851.7059399,12917.58846,0.3,0.065933819,1
2586.206897,848.2559865,12937.26173,0.3,0.065566888,1
3448.275862,844.6953586,12956.5427,0.3,0.065194503,1
4310.344828,841.0275746,12975.40957,0.3,0.064817035,1
5172.413793,837.2561672,12951.79858,0.3,0.064644008,1
6034.482759,833.384694,12793.42492,0.3,0.065141641,1
6896.551724,829.4167484,12635.20645,0.3,0.065643308,1
7758.62069,825.3559739,12477.16917,0.3,0.066149297,1
8620.689655,821.2060794,12319.33932,0.3,0.066659912,1
9482.758621,816.1905376,12156.36182,0.3,0.06714102,1
10344.82759,811.7799809,11998.46378,0.3,0.067656993,1
11206.89655,807.2789188,11840.7849,0.3,0.068177821,1
12068.96552,802.6894629,11683.34346,0.3,0.068703746,1
12931.03448,798.0135549,11526.15699,0.3,0.069235007,1
13793.10345,793.2529383,11369.24208,0.3,0.06977184,1
14655.17241,788.4091227,11212.61426,0.3,0.070314478,1
15517.24138,783.4833399,11056.28784,0.3,0.070863146,1
16379.31034,778.476488,10900.27567,0.3,0.071418055,1
17241.37931,773.3890611,10744.58889,0.3,0.0719794,1
18103.44828,769.1015436,10594.44811,0.3,0.072594772,1
18965.51724,764.0083538,10440.25642,0.3,0.073179079,1
19827.58621,758.8640711,10286.55748,0.3,0.073772404,1
20689.65517,753.6735595,10133.38168,0.3,0.074375325,1
