Gross_Power,Net_Power,weight,P_sp_net
100,89,66,1.348484848
200,178,120.8,1.473509934
300,267,175.5,1.521367521
400,356,230.3,1.545809813
500,445,285.1,1.56085584
600,534,339.8,1.571512655
700,623,394.6,1.578813989
800,712,449.4,1.584334668
900,801,504.1,1.588970442
1000,890,558.9,1.59241367
1200,1068,668.4,1.597845601
1400,1246,777.9,1.601748297
1600,1424,887.5,1.604507042
1800,1602,997,1.606820461
2000,1780,1106.5,1.608676005
2250,2002.5,1243.4,1.610503458
2400,2136,1325.6,1.611345806
2500,2225,1380.3,1.611968413
