eta_g,m_H2
0.154363304,2.5
0.167299716,3.333333333
0.17791971,4.166666667
0.186983378,5
0.194920653,5.833333333
0.202000499,6.666666667
0.208403317,7.5
0.214256481,8.333333333
0.219653532,9.166666667
0.224665352,10
0.229347035,10.83333333
0.233742318,11.66666667
0.237886543,12.5
0.241808712,13.33333333
0.245532934,14.16666667
0.249079487,15
0.252465599,15.83333333
0.25570604,16.66666667
0.258813573,17.5
0.261799311,18.33333333
0.26467299,19.16666667
0.267443193,20
0.270117526,20.83333333
0.272702767,21.66666667
0.275204977,22.5
0.277629605,23.33333333
0.279981567,24.16666667
0.282265314,25
0.284484888,25.83333333
0.286643976,26.66666667
0.288745945,27.5
0.290793885,28.33333333
0.292790633,29.16666667
0.294738803,30
0.296640811,30.83333333
0.29849889,31.66666667
0.300315113,32.5
0.302091405,33.33333333
0.30382956,34.16666667
0.305531247,35
0.307198029,35.83333333
0.308831368,36.66666667
0.310432631,37.5
0.312003104,38.33333333
0.313543995,39.16666667
0.315056439,40
0.316541506,40.83333333
0.318000207,41.66666667
0.319433496,42.5
0.320842274,43.33333333
0.322227395,44.16666667
0.323589667,45
0.324929859,45.83333333
0.326248697,46.66666667
0.327546875,47.5
0.328825051,48.33333333
0.330083851,49.16666667
0.331323872,50
0.332545685,50.83333333
0.333749831,51.66666667
0.334936831,52.5
0.336107179,53.33333333
0.337261351,54.16666667
0.338399801,55
0.339522962,55.83333333
0.340631251,56.66666667
0.341725069,57.5
0.342804797,58.33333333
0.343870805,59.16666667
0.344923445,60
0.345963057,60.83333333
0.346989968,61.66666667
0.348004492,62.5
0.349006933,63.33333333
0.34999758,64.16666667
0.350976715,65
0.351944609,65.83333333
0.352901523,66.66666667
0.353847709,67.5
0.354783409,68.33333333
0.35570886,69.16666667
0.356624287,70
0.357529911,70.83333333
0.358425943,71.66666667
0.359312589,72.5
0.360190047,73.33333333
0.36105851,74.16666667
0.361918163,75
0.362769187,75.83333333
0.363611756,76.66666667
0.364446041,77.5
0.365272205,78.33333333
0.366090409,79.16666667
0.366900805,80
0.367703545,80.83333333
0.368498775,81.66666667
0.369286636,82.5
