Ampere,m_ratio
500.40578,1.514139061
608.9967221,1.987900378
728.1906428,2.540920541
815.6599458,3.174885907
873.9868675,3.650649775
961.4456308,4.244774924
1048.946553,4.998260943
1109.89787,5.394238978
1165.600396,5.949788678
1226.551713,6.345766713
1282.2437,6.861476196
1337.925147,7.337345461
1393.606594,7.813214726
1441.372696,8.369080618
1504.990567,8.844633691
1539.529295,9.401026571
1666.838816,10.63101424
1711.948903,11.14714531
1770.307444,11.74242983
1820.740101,12.37787076
1889.754319,13.25161522
1942.82191,13.84711053
2003.847005,14.52197009
2067.559734,15.35608512
2128.626988,16.19030555
2200.276141,17.02410439
2264.00995,17.93789985
2317.10916,18.65291582
2378.176414,19.48713625
2428.64069,20.24209783
2508.331665,21.47398265
2572.054933,22.3479379
2646.38118,23.30115199
2688.877412,23.93690912
2744.674796,24.85102077
2803.128195,25.80486725
2869.518018,26.75839754
2920.013912,27.63287977
2970.509807,28.50736201
