,TP_total_temperature,TP_total_pressure
0,"[101325.00000061248, 101325.00000061248, 500.2298141636635, 684.8069131754396, 1422.1443156966898, 1255.693424846364, 1066.169019310085, 858.0576069072605, 858.0576069072605]","[101325.00000061248, 101325.00000061248, 522854.3005631023, 1316413.904734572, 1224264.931403152, 674819.6385918934, 308435.00744417444, 111719.93547444395, 111719.93547444395]"
1,"[101325.00079834573, 101325.00079834573, 500.2298144037081, 684.8069130602815, 1422.1443129598947, 1255.6934224054858, 1066.1690172202832, 858.0576051496779, 858.0576051496779]","[101325.00079834573, 101325.00079834573, 522854.3019269998, 1316413.9056604754, 1224264.932264242, 674819.639003773, 308435.00760843843, 111719.93548785057, 111719.93548785057]"
2,"[101325.00310481303, 101325.00310481303, 500.2298150981635, 684.8069127281129, 1422.1443050498806, 1255.6934153507432, 1066.169011180235, 858.0576000692017, 858.0576000692017]","[101325.00310481303, 101325.00310481303, 522854.3058717113, 1316413.9083419968, 1224264.9347580571, 674819.6401969889, 308435.008084469, 111719.9355266775, 111719.9355266775]"
3,"[101325.00691893442, 101325.00691893442, 500.22981624693847, 684.8069121795271, 1422.144291971921, 1255.6934036868374, 1066.1690011939631, 858.0575916688695, 858.0575916688695]","[101325.00691893442, 101325.00691893442, 522854.31239611655, 1316413.912780374, 1224264.938885748, 674819.6421722904, 308435.00887265144, 111719.93559094264, 111719.93559094264]"
4,"[101325.01223962991, 101325.01223962991, 500.22981784982494, 684.8069114148989, 1422.1442737305044, 1255.6933874177712, 1066.1689872648938, 858.057579951389, 858.057579951389]","[101325.01223962991, 101325.01223962991, 522854.32149873266, 1316413.9189756012, 1224264.9446473091, 674819.6449297759, 308435.00997306925, 111719.93568064606, 111719.93568064606]"
5,"[101325.01906581977, 101325.01906581977, 500.22981990529775, 684.806910432139, 1422.1442503212884, 1255.693366539679, 1066.1689693897272, 858.0575649157654, 858.0575649157654]","[101325.01906581977, 101325.01906581977, 522854.33317398146, 1316413.9269136267, 1224264.952029673, 674819.6484621622, 308435.01138236927, 111719.93579558426, 111719.93579558426]"
6,"[101325.02739642451, 101325.02739642451, 500.2298224148171, 684.8069092347424, 1422.1442217599474, 1255.693341066529, 1066.1689475804083, 858.0575465693967, 858.0575465693967]","[101325.02739642451, 101325.02739642451, 522854.34742556803, 1316413.9366122333, 1224264.961049377, 674819.6527788952, 308435.01310498564, 111719.93593601459, 111719.93593601459]"
7,"[101325.03723036464, 101325.03723036464, 500.2298253763602, 684.8069078196893, 1422.1441880388002, 1255.6933109914817, 1066.1689218310948, 858.0575249098877, 858.0575249098877]","[101325.03723036464, 101325.03723036464, 522854.3642463664, 1316413.9480520613, 1224264.971688417, 674819.6578699029, 308435.01513626723, 111719.93610165683, 111719.93610165683]"
8,"[101325.04856656096, 101325.04856656096, 500.22982879074357, 684.8069061892701, 1422.1441491692037, 1255.6932763246584, 1066.168892150443, 858.0574999428261, 858.0574999428261]","[101325.04856656096, 101325.04856656096, 522854.3836380806, 1316413.961244029, 1224264.983956947, 674819.6637410232, 308435.0174789685, 111719.93629266914, 111719.93629266914]"
9,"[101325.06140393447, 101325.06140393447, 500.2298326569398, 684.8069043423264, 1422.1441051501495, 1255.6932370651646, 1066.1688585376928, 858.057471668615, 858.057471668615]","[101325.06140393447, 101325.06140393447, 522854.40559668, 1316413.9761793902, 1224264.997846833, 674819.6703877617, 308435.02013103425, 111719.9365089248, 111719.9365089248]"
