,TP_total_temperature,TP_total_pressure
0,"[101325.00000061248, 101325.00000061248, 500.2298141636635, 684.8069131754396, 1422.1443156966898, 1255.693424846364, 1066.169019310085, 858.0576069072605, 858.0576069072605]","[101325.00000061248, 101325.00000061248, 522854.3005631023, 1316413.904734572, 1224264.931403152, 674819.6385918934, 308435.00744417444, 111719.93547444395, 111719.93547444395]"
1,"[101325.00085245, 101325.00085245, 500.2298144199712, 684.8069130524389, 1422.1443127741627, 1255.6934222398363, 1066.1690170784598, 858.0576050304256, 858.0576050304256]","[101325.00085245, 101325.00085245, 522854.30201944924, 1316413.9057230887, 1224264.9323224726, 674819.639031612, 308435.0076195349, 111719.9354887572, 111719.9354887572]"
2,"[101325.0033181959, 101325.0033181959, 500.2298151622142, 684.8069126970141, 1422.1443043167658, 1255.693414696898, 1066.1690106204348, 858.0575995986281, 858.0575995986281]","[101325.0033181959, 101325.0033181959, 522854.30623604433, 1316413.9085879787, 1224264.9349868202, 674819.6403062765, 308435.0081279955, 111719.93553023922, 111719.93553023922]"
3,"[101325.00739664215, 101325.00739664215, 500.2298163909656, 684.8069121110922, 1422.1442903349255, 1255.693402226841, 1066.1689999439586, 858.0575906171636, 858.0575906171636]","[101325.00739664215, 101325.00739664215, 522854.31321373454, 1316413.9133378286, 1224264.9394041807, 674819.6424205111, 308435.0089717508, 111719.93559901434, 111719.93559901434]"
4,"[101325.01308658098, 101325.01308658098, 500.22981810445634, 684.8069112922183, 1422.1442708233608, 1255.693384824965, 1066.168985045018, 858.0575780847412, 858.0575780847412]","[101325.01308658098, 101325.01308658098, 522854.3229460846, 1316413.91995625, 1224264.9455593126, 674819.6453658176, 308435.01014688634, 111719.93569484536, 111719.93569484536]"
5,"[101325.0203868046, 101325.0203868046, 500.22982030320105, 684.806910242209, 1422.144245792103, 1255.6933625002112, 1066.1689659312608, 858.0575620064915, 858.0575620064915]","[101325.0203868046, 101325.0203868046, 522854.3354337594, 1316413.9284512019, 1224264.953459618, 674819.6491464913, 308435.01165544294, 111719.93581784751, 111719.93581784751]"
6,"[101325.02929610581, 101325.02929610581, 500.22982298668956, 684.8069089609643, 1422.1442152443115, 1255.6933352553979, 1066.1689426051018, 858.0575423846622, 858.0575423846622]","[101325.02929610581, 101325.02929610581, 522854.3506742381, 1316413.9388197178, 1224264.9631023377, 674819.6537610865, 308435.0134967899, 111719.93596797778, 111719.93596797778]"
7,"[101325.03981327725, 101325.03981327725, 500.22982615420733, 684.8069074480017, 1422.1441791817733, 1255.693303092121, 1066.1689150679097, 858.057519220926, 858.057519220926]","[101325.03981327725, 101325.03981327725, 522854.3686643643, 1316413.951056652, 1224264.9744826865, 674819.6592070108, 308435.01566976117, 111719.93614516173, 111719.93614516173]"
8,"[101325.05193711216, 101325.05193711216, 500.2298298063857, 684.8069057053555, 1422.1441376152998, 1255.6932660200168, 1066.168883327927, 858.0574925207396, 858.0574925207396]","[101325.05193711216, 101325.05193711216, 522854.38940516673, 1316413.9651712072, 1224264.9876092228, 674819.6654892147, 308435.01817670354, 111719.9363495324, 111719.9363495324]"
9,"[101325.06566640364, 101325.06566640364, 500.2298339406662, 684.8069037290944, 1422.144090534313, 1255.6932240296653, 1066.1688473771062, 858.0574622805909, 858.0574622805909]","[101325.06566640364, 101325.06566640364, 522854.412887756, 1316413.9811385777, 1224265.0024588774, 674819.6725947761, 308435.02101164276, 111719.9365807311, 111719.9365807311]"
10,"[101325.08099994517, 101325.08099994517, 500.22983855905636, 684.8069015238265, 1422.1440379588496, 1255.6931771389213, 1066.168807230715, 858.0574285098047, 858.0574285098047]","[101325.08099994517, 101325.08099994517, 522854.43911743973, 1316413.9989826365, 1224265.019053852, 674819.6805363522, 308435.0241805126, 111719.93683910307, 111719.93683910307]"
11,"[101325.09793653067, 101325.09793653067, 500.2298436603145, 684.8068990880829, 1422.1439798871586, 1255.6931253462287, 1066.168762887428, 858.057391208569, 858.057391208569]","[101325.09793653067, 101325.09793653067, 522854.4680894233, 1316414.018692617, 1224265.037384134, 674819.6893083982, 308435.02768077364, 111719.93712449248, 111719.93712449248]"
12,"[101325.11647495395, 101325.11647495395, 500.2298492436089, 684.8068964211612, 1422.1439163202388, 1255.6930686524815, 1066.1687143480146, 858.057350378226, 858.057350378226]","[101325.11647495395, 101325.11647495395, 522854.4998001873, 1316414.0402621226, 1224265.057443774, 674819.6989076659, 308435.0315109549, 111719.93743680682, 111719.93743680682]"
13,"[101325.13661400911, 101325.13661400911, 500.22985530910347, 684.8068935242216, 1422.1438472657615, 1255.693007064518, 1066.1686616183254, 858.0573060229151, 858.0573060229151]","[101325.13661400911, 101325.13661400911, 522854.5342493072, 1316414.0636953707, 1224265.0792366948, 674819.7093364843, 308435.0356721825, 111719.93777610721, 111719.93777610721]"
14,"[101325.1583524907, 101325.1583524907, 500.22986185623023, 684.806890397054, 1422.143772726489, 1255.6929405848034, 1066.1686047004723, 858.0572581447165, 858.0572581447165]","[101325.1583524907, 101325.1583524907, 522854.5714340834, 1316414.0889887717, 1224265.1027595578, 674819.7205930805, 308435.0401636724, 111719.93814234142, 111719.93814234142]"
15,"[101325.18168919327, 101325.18168919327, 500.2298688847718, 684.8068870401054, 1422.143692707538, 1255.6928692179, 1066.1685435983604, 858.0572067466987, 858.0572067466987]","[101325.18168919327, 101325.18168919327, 522854.61135290726, 1316414.1161424827, 1224265.128012509, 674819.7326776489, 308435.0449855569, 111719.93853551202, 111719.93853551202]"
16,"[101325.20662291169, 101325.20662291169, 500.22987639474627, 684.8068834542621, 1422.1436072155986, 1255.692792969772, 1066.168478317093, 858.0571518325889, 858.0571518325889]","[101325.20662291169, 101325.20662291169, 522854.6540049014, 1316414.1451591616, 1224265.1549980205, 674819.7455917002, 308435.0501385803, 111719.93895565727, 111719.93895565727]"
17,"[101325.23315244107, 101325.23315244107, 500.2298843848244, 684.8068796378906, 1422.1435162483265, 1255.692711838335, 1066.1684088548939, 858.0570934023266, 858.0570934023266]","[101325.23315244107, 101325.23315244107, 522854.6993849995, 1316414.1760271033, 1224265.1837052063, 674819.7593291962, 308435.0556199741, 111719.93940260778, 111719.93940260778]"
18,"[101325.26127657662, 101325.26127657662, 500.2298928555507, 684.8068755928621, 1422.1434198159434, 1255.6926258326996, 1066.1683352195548, 858.0570314611198, 858.0570314611198]","[101325.26127657662, 101325.26127657662, 522854.7474939622, 1316414.2087545851, 1224265.2141417642, 674819.7738945981, 308435.0614318556, 111719.93987648343, 111719.93987648343]"
19,"[101325.290994114, 101325.290994114, 500.22990180603534, 684.8068713183645, 1422.1433179190483, 1255.6925349534035, 1066.1682574115414, 858.0569660101415, 858.0569660101415]","[101325.290994114, 101325.290994114, 522854.79832808976, 1316414.2433345842, 1224265.2463011635, 674819.7892843297, 308435.06757260236, 111719.9403771825, 111719.9403771825]"
20,"[101325.32230384892, 101325.32230384892, 500.2299112361205, 684.8068668149549, 1422.14321056315, 1255.6924392053584, 1066.1681754350566, 858.0568970526236, 858.0568970526236]","[101325.32230384892, 101325.32230384892, 522854.8518859589, 1316414.2797678858, 1224265.280184134, 674819.8054989154, 308435.07404249924, 111719.94090471634, 111719.94090471634]"
21,"[101325.35520457735, 101325.35520457735, 500.22992114535555, 684.806862082643, 1422.1430977517937, 1255.6923385917269, 1066.168089292809, 858.0568245909742, 858.0568245909742]","[101325.35520457735, 101325.35520457735, 522854.9081652363, 1316414.3180521533, 1224265.3157885026, 674819.8225372412, 308435.0808410694, 111719.9414590511, 111719.9414590511]"
22,"[101325.38969509564, 101325.38969509564, 500.22993153334835, 684.806857121547, 1422.1429794889136, 1255.6922331160179, 1066.1679989878037, 858.0567486277645, 858.0567486277645]","[101325.38969509564, 101325.38969509564, 522854.96716377046, 1316414.358185672, 1224265.353112675, 674819.8403985172, 308435.08796798735, 111719.94204016204, 111719.94204016204]"
23,"[101325.42577420012, 101325.42577420012, 500.2299423997364, 684.8068519318409, 1422.1428557786426, 1255.6921227819175, 1066.167904523196, 858.0566691656488, 858.0566691656488]","[101325.42577420012, 101325.42577420012, 522855.028879502, 1316414.4001670417, 1224265.3921553488, 674819.8590821226, 308435.09542300494, 111719.94264802888, 111719.94264802888]"
24,"[101325.46344068751, 101325.46344068751, 500.2299537440401, 684.8068465134796, 1422.1427266243268, 1255.6920075924104, 1066.1678059015421, 858.0565862069519, 858.0565862069519]","[101325.46344068751, 101325.46344068751, 522855.0933100072, 1316414.443993614, 1224265.4329140612, 674819.8785867749, 308435.1032055661, 111719.94328261331, 111719.94328261331]"
25,"[101325.50269335482, 101325.50269335482, 500.2299655666284, 684.8068408680045, 1422.1425920350039, 1255.6918875555534, 1066.1677031297345, 858.0564997563841, 858.0564997563841]","[101325.50269335482, 101325.50269335482, 522855.16045550274, 1316414.4896717898, 1224265.4753947647, 674819.898915955, 308435.11131733353, 111719.94394400775, 111719.94394400775]"
26,"[101325.5435309991, 101325.5435309991, 500.22997786552924, 684.8068349925792, 1422.1424520040093, 1255.6917626654117, 1066.1675962027048, 858.0564098120724, 858.0564098120724]","[101325.5435309991, 101325.5435309991, 522855.230308924, 1316414.5371830056, 1224265.5195801952, 674819.9200600164, 308435.11975385755, 111719.94463194387, 111719.94463194387]"
27,"[101325.5859524178, 101325.5859524178, 500.2299906429848, 684.8068288922484, 1422.1423065529384, 1255.6916329412297, 1066.1674851369087, 858.0563163839923, 858.0563163839923]","[101325.5859524178, 101325.5859524178, 522855.3028763121, 1316414.5865536344, 1224265.56549488, 674819.942032933, 308435.1285216854, 111719.94534680301, 111719.94534680301]"
28,"[101325.62995640855, 101325.62995640855, 500.23000389608666, 684.8068225624237, 1422.1421556688479, 1255.6914983714796, 1066.1673699224966, 858.0562194676379, 858.0562194676379]","[101325.62995640855, 101325.62995640855, 522855.37814769224, 1316414.637755129, 1224265.6131122701, 674819.9648198149, 308435.13761392626, 111719.94608817229, 111719.94608817229]"
29,"[101325.67554176923, 101325.67554176923, 500.230017625614, 684.8068160054135, 1422.14199936352, 1255.6913589666626, 1066.1672505684508, 858.05611906887, 858.05611906887]","[101325.67554176923, 101325.67554176923, 522855.456124556, 1316414.6907982607, 1224265.6624423827, 674819.9884264359, 308435.1470333099, 111719.94685620739, 111719.94685620739]"
30,"[101325.72270729781, 101325.72270729781, 500.23003183099945, 684.8068092210078, 1422.141837639707, 1255.6912147292346, 1066.1671270768747, 858.0560151897632, 858.0560151897632]","[101325.72270729781, 101325.72270729781, 522855.5368042082, 1316414.745679444, 1224265.7134818828, 674820.012851023, 308435.156779052, 111719.94765085645, 111719.94765085645]"
31,"[101325.77145179271, 101325.77145179271, 500.2300465120273, 684.8068022096538, 1422.1416705025188, 1255.6910656637522, 1066.1669994516692, 858.0559078333806, 858.0559078333806]","[101325.77145179271, 101325.77145179271, 522855.62018504733, 1316414.8023988402, 1224265.7662309215, 674820.0380937759, 308435.16685128736, 111719.94847212195, 111719.94847212195]"
32,"[101325.82177405254, 101325.82177405254, 500.23006166886216, 684.8067949725105, 1422.1414979596134, 1255.690911777042, 1066.1668676986744, 858.0557970038532, 858.0557970038532]","[101325.82177405254, 101325.82177405254, 522855.7062666552, 1316414.8609606698, 1224265.820693423, 674820.0641570236, 308435.1772511417, 111719.94932006476, 111719.94932006476]"
33,"[101325.87367287604, 101325.87367287604, 500.230077299357, 684.8067875064123, 1422.1413200031468, 1255.6907530621193, 1066.1667318119246, 858.0556826988128, 858.0556826988128]","[101325.87367287604, 101325.87367287604, 522855.7950414243, 1316414.9213444982, 1224265.8768503834, 674820.0910301396, 308435.1879737087, 111719.95019438924, 111719.95019438924]"
34,"[101325.92714706223, 101325.92714706223, 500.2300934047592, 684.8067798145433, 1422.141136648038, 1255.6905895322795, 1066.1665918027902, 858.0555649254344, 858.0555649254344]","[101325.92714706223, 101325.92714706223, 522855.8865123039, 1316414.9835660912, 1224265.934716465, 674820.1187215217, 308435.19902293995, 111719.95109532354, 111719.95109532354]"
35,"[101325.9821954103, 101325.9821954103, 500.23010998485296, 684.8067718973499, 1422.1409478993908, 1255.6904211920746, 1066.166447675167, 858.0554436867784, 858.0554436867784]","[101325.9821954103, 101325.9821954103, 522855.98067769234, 1316415.0476256062, 1224265.9942918138, 674820.1472313661, 308435.21039896825, 111719.95202286993, 111719.95202286993]"
36,"[101326.03881671999, 101326.03881671999, 500.23012703819387, 684.8067637529808, 1422.1407537540708, 1255.6902480387155, 1066.166299426676, 858.0553189824503, 858.0553189824503]","[101326.03881671999, 101326.03881671999, 522856.0775321692, 1316415.1135101058, 1224266.0555643984, 674820.1765529863, 308435.2220987214, 111719.95297684114, 111719.95297684114]"
37,"[101326.09700979089, 101326.09700979089, 500.23014456482986, 684.8067553823759, 1422.140554218948, 1255.6900700783262, 1066.1661470625572, 858.05519081625, 858.05519081625]","[101326.09700979089, 101326.09700979089, 522856.17707495287, 1316415.181222559, 1224266.11853698, 674820.2066880538, 308435.23412301997, 111719.95395728019, 111719.95395728019]"
38,"[101326.15677342293, 101326.15677342293, 500.2301625648378, 684.8067467865287, 1422.1403493010882, 1255.689887317207, 1066.1659905882007, 858.0550591920601, 858.0550591920601]","[101326.15677342293, 101326.15677342293, 522856.279305353, 1316415.250766246, 1224266.183212609, 674820.2376384073, 308435.24647276034, 111719.95496423451, 111719.95496423451]"
39,"[101326.2181064165, 101326.2181064165, 500.23018103712474, 684.8067379642451, 1422.14013899971, 1255.6896997546642, 1066.1658300030192, 858.054924110472, 858.054924110472]","[101326.2181064165, 101326.2181064165, 522856.3842190423, 1316415.3221319753, 1224266.2495827372, 674820.2693993255, 308435.25914578716, 111719.9559975711, 111719.9559975711]"
40,"[101326.2810075719, 101326.2810075719, 500.23019998188494, 684.8067289167379, 1422.1399233226614, 1255.6895073976948, 1066.1656653129985, 858.0547855756957, 858.0547855756957]","[101326.2810075719, 101326.2810075719, 522856.4918156945, 1316415.395324273, 1224266.317651574, 674820.3019733025, 308435.2721433019, 111719.95705735536, 111719.95705735536]"
