,TP_total_temperature,TP_total_pressure
0,"[101325.00000061248, 101325.00000061248, 500.2298141636635, 684.8069131754396, 1422.1443156966898, 1255.693424846364, 1066.169019310085, 858.0576069072605, 858.0576069072605]","[101325.00000061248, 101325.00000061248, 522854.3005631023, 1316413.904734572, 1224264.931403152, 674819.6385918934, 308435.00744417444, 111719.93547444395, 111719.93547444395]"
1,"[101325.00088375736, 101325.00088375736, 500.2298144291061, 684.806913047385, 1422.1443126648398, 1255.6934221423357, 1066.1690169949852, 858.057604960645, 858.057604960645]","[101325.00088375736, 101325.00088375736, 522854.3020720874, 1316413.9057563797, 1224264.9323534332, 674819.6390461747, 308435.0076252359, 111719.9354892392, 111719.9354892392]"
2,"[101325.00344171592, 101325.00344171592, 500.2298152000244, 684.8069126803839, 1422.1443038973086, 1255.6934143227907, 1066.1690103001308, 858.0575993282912, 858.0575993282912]","[101325.00344171592, 101325.00344171592, 522854.3064492246, 1316413.9087381891, 1224264.935126516, 674819.6403736484, 308435.0081551042, 111719.93553241409, 111719.93553241409]"
3,"[101325.00767321122, 101325.00767321122, 500.22981647380936, 684.8069120704602, 1422.14428938356, 1255.6934013783448, 1066.1689992175063, 858.0575900067574, 858.0575900067574]","[101325.00767321122, 101325.00767321122, 522854.31368541316, 1316413.9136548007, 1224264.9396989648, 674819.6425611887, 308435.0090277138, 111719.93560360395, 111719.93560360395]"
4,"[101325.01357696678, 101325.01357696678, 500.22981825233023, 684.8069112220126, 1422.1442691430843, 1255.6933833263674, 1066.168983761964, 858.0575770051926, 858.0575770051926]","[101325.01357696678, 101325.01357696678, 522854.3237854777, 1316413.920528759, 1224264.946091746, 674819.6456207627, 308435.0102486792, 111719.935703135, 111719.935703135]"
5,"[101325.02115170611, 101325.02115170611, 500.22982053347613, 684.8069101319957, 1422.144243168681, 1255.6933601604474, 1066.168963928029, 858.0575603215535, 858.0575603215535]","[101325.02115170611, 101325.02115170611, 522854.3367418652, 1316413.929340168, 1224264.9542863562, 674819.6495420353, 308435.011813233, 111719.93583071916, 111719.93583071916]"
6,"[101325.03039615307, 101325.03039615307, 500.2298233181793, 684.8069088030559, 1422.144211473558, 1255.693331892356, 1066.168939725769, 858.0575399623546, 858.0575399623546]","[101325.03039615307, 101325.03039615307, 522854.35255648795, 1316413.9401015854, 1224264.9642944743, 674819.6543317245, 308435.0137245473, 111719.9359865384, 111719.9359865384]"
7,"[101325.04130903188, 101325.04130903188, 500.22982660503146, 684.8069072334619, 1422.1441740552239, 1255.6932985198775, 1066.168911153295, 858.0575159275271, 858.0575159275271]","[101325.04130903188, 101325.04130903188, 522854.3712239784, 1316413.952800606, 1224264.9761045636, 674819.6599834311, 308435.01597968617, 111719.9361704131, 111719.9361704131]"
8,"[101325.05388906672, 101325.05388906672, 500.22983039376504, 684.8069054236153, 1422.1441309188376, 1255.693260047613, 1066.1688782145457, 858.0574882202104, 858.0574882202104]","[101325.05388906672, 101325.05388906672, 522854.3927425172, 1316413.9674369907, 1224264.9897164013, 674819.6664971488, 308435.018578691, 111719.93638233976, 111719.93638233976]"
9,"[101325.06813498224, 101325.06813498224, 500.2298346842597, 684.8069033741932, 1422.1440820705443, 1255.6932164810407, 1066.1688409142089, 858.0574568439567, 858.0574568439567]","[101325.06813498224, 101325.06813498224, 522854.4171107426, 1316413.9840120678, 1224265.005131223, 674819.6738736945, 308435.0215219861, 111719.93662233761, 111719.93662233761]"
10,"[101325.08404550329, 101325.08404550329, 500.229839476775, 684.8069010865835, 1422.1440275190332, 1255.693167827907, 1066.1687992589118, 858.0574218033848, 858.0574218033848]","[101325.08404550329, 101325.08404550329, 522854.4443284747, 1316414.0025312179, 1224265.0223540326, 674819.6821160164, 308435.02481098776, 111719.93689048447, 111719.93689048447]"
