,TP_total_temperature,TP_total_pressure
0,"[101325.00000061248, 101325.00000061248, 500.2298141636635, 684.8069131754396, 1422.1443156966898, 1255.693424846364, 1066.169019310085, 858.0576069072605, 858.0576069072605]","[101325.00000061248, 101325.00000061248, 522854.3005631023, 1316413.904734572, 1224264.931403152, 674819.6385918934, 308435.00744417444, 111719.93547444395, 111719.93547444395]"
1,"[101325.00075218009, 101325.00075218009, 500.22981438968924, 684.8069130667079, 1422.144313117423, 1255.6934225459822, 1066.169017340573, 858.0576052510332, 858.0576052510332]","[101325.00075218009, 101325.00075218009, 522854.3018476742, 1316413.9056055362, 1224264.9322131488, 674819.6389792251, 308435.00759860105, 111719.93548705505, 111719.93548705505]"
2,"[101325.00292280236, 101325.00292280236, 500.2298150432963, 684.8069127542028, 1422.144305673646, 1255.6934159070643, 1066.16901165654, 858.0576004699342, 858.0576004699342]","[101325.00292280236, 101325.00292280236, 522854.30556021794, 1316413.9081296907, 1224264.9345606123, 674819.6401024614, 308435.00804673287, 111719.93552360336, 111719.93552360336]"
3,"[101325.00651148254, 101325.00651148254, 500.2298161244773, 684.8069122386158, 1422.1442933707406, 1255.6934049344081, 1066.169002262092, 858.057592566982, 858.057592566982]","[101325.00651148254, 101325.00651148254, 522854.3116999386, 1316413.9123089984, 1224264.9384473686, 674819.641962727, 308435.00878912816, 111719.9355841174, 111719.9355841174]"
4,"[101325.01151722403, 101325.01151722403, 500.22981763164415, 684.8069115176816, 1422.144276203489, 1255.6933896233681, 1066.168989153262, 858.0575815407511, 858.0575815407511]","[101325.01151722403, 101325.01151722403, 522854.32026112726, 1316413.9181285684, 1224264.9438595688, 674819.6445522894, 308435.0098222218, 111719.93566838153, 111719.93566838153]"
5,"[101325.0179390306, 101325.0179390306, 500.2298195661358, 684.8069105946086, 1422.1442541862975, 1255.6933699867825, 1066.1689723410277, 858.0575673980444, 858.0575673980444]","[101325.0179390306, 101325.0179390306, 522854.3312471754, 1316413.9256047155, 1224264.9508123854, 674819.647879815, 308435.0111500817, 111719.93577663193, 111719.93577663193]"
6,"[101325.02577590606, 101325.02577590606, 500.22982192654007, 684.8069094674605, 1422.1442273151267, 1255.693346021056, 1066.168951822321, 858.0575501379296, 858.0575501379296]","[101325.02577590606, 101325.02577590606, 522854.3446529215, 1316413.9347244247, 1224264.959293715, 674819.6519385595, 308435.0127696038, 111719.93590868021, 111719.93590868021]"
7,"[101325.0350268544, 101325.0350268544, 500.22982471243995, 684.8069081361617, 1422.144195592608, 1255.693317728536, 1066.1689275991523, 858.0575297622726, 858.0575297622726]","[101325.0350268544, 101325.0350268544, 522854.3604762977, 1316413.9454852892, 1224264.969301319, 674819.6567273496, 308435.0146802756, 111719.93606449153, 111719.93606449153]"
8,"[101325.04569087976, 101325.04569087976, 500.2298279244135, 684.8069066024979, 1422.1441590280435, 1255.693285117513, 1066.1688996786122, 858.0575062757346, 858.0575062757346]","[101325.04569087976, 101325.04569087976, 522854.37871832994, 1316413.957895511, 1224264.9808428253, 674819.662250589, 308435.0168841811, 111719.93624418454, 111719.93624418454]"
9,"[101325.0577669864, 101325.0577669864, 500.22983156154646, 684.8069048654635, 1422.1441176207306, 1255.6932481873644, 1066.1688680601728, 858.0574796787838, 858.0574796787838]","[101325.0577669864, 101325.0577669864, 522854.39937540476, 1316413.9719473815, 1224264.993911065, 674819.6685043202, 308435.01937951247, 111719.93644764772, 111719.93644764772]"
