,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time
0,22242.02284,60,10.668,0,0.743837491,60,1,0.176338689,59.96927946,1.652911553,0.108905811,14371.31128,1,0,1,FALSE,1.03E-07,47548.04595,3597344.216,3597344.216,2530.246276,0.152103316,0,,,,,,,,,2
1,22241.279,60.05241217,28.85009979,118.6145491,1.486737335,62,1,0.176528941,59.96927946,1.652856275,0.108900336,14370.5888,1,0,1,FALSE,1.03E-07,47525.70354,3598477.355,3598477.355,2530.142274,0.15200928,0,,,,,,initial climb,,,2
2,22240.5361,60.10490529,47.03691845,237.3344229,2.228698813,64,1,0.176719526,59.96927946,1.652801066,0.108894868,14369.86725,1,0,1,FALSE,1.03E-07,47502.9955,3599589.264,3599589.264,2530.018691,0.151913551,0,,,,,,initial climb,,,2
3,22239.79414,60.15747897,65.22825961,356.1598144,2.969721238,66,1,0.176910442,59.96927946,1.652745928,0.108889407,14369.14664,1,0,1,FALSE,1.03E-07,47479.92289,3600679.957,3600679.957,2529.875544,0.151816133,0,,,,,,initial climb,,,2
4,22239.05311,60.21013279,83.42392678,475.0909155,3.709803958,68,1,0.177101689,59.96927946,1.652690859,0.108883954,14368.42697,1,0,1,FALSE,1.03E-07,47456.48679,3601749.449,3601749.449,2529.712854,0.151717031,0,,,,,,initial climb,,,2
5,22238.31303,60.26286637,101.6237233,594.1279172,4.448946357,70,1,0.177293265,59.96927946,1.65263586,0.108878507,14367.70823,1,0,1,FALSE,1.03E-07,47432.68832,3602797.755,3602797.755,2529.530642,0.15161625,0,,,,,,initial climb,,,2
6,22237.57389,60.31567927,119.8274524,713.2710097,5.186947933,72,1,0.177485169,59.96927946,1.65258093,0.108873068,14366.99044,1,0,1,FALSE,1.02E-07,47396.76178,3602848.914,3603824.892,2528.701148,0.151459838,0,,,,,,initial climb,,,2
7,22236.83589,60.3685524,138.0284829,832.5213647,5.923803025,74,1,0.177677331,59.96927946,1.652526086,0.108867637,14366.27377,1,0,1,FALSE,1.02E-07,47360.15202,3602848.914,3604830.526,2527.834006,0.151300269,0,,,,,,initial climb,,,2
8,22236.09903,60.42148469,156.226423,951.8791606,6.659516481,76,1,0.177869748,59.96927946,1.652471327,0.108862214,14365.55824,1,0,1,FALSE,1.02E-07,47323.47715,3602848.914,3605814.686,2526.962149,0.151140379,0,,,,,,initial climb,,,2
9,22235.36332,60.47447606,174.4212182,1071.344522,7.394093141,78,1,0.178062419,59.96927946,1.652416652,0.108856801,14364.84385,1,0,1,FALSE,1.02E-07,47286.73713,3602848.914,3606777.425,2526.085566,0.150980166,0,,,,,,initial climb,,,2
10,22234.62874,60.52752644,192.6128138,1190.917575,8.127537836,80,1,0.178255345,59.96927946,1.652362062,0.108851396,14364.13058,1,0,1,FALSE,1.02E-07,47249.93192,3602848.914,3607718.79,2525.204244,0.15081963,0,,,,,,initial climb,,,2
11,22233.8953,60.58063575,210.801155,1310.598442,8.859855391,82,1,0.178448524,59.96927946,1.652307557,0.108845999,14363.41844,1,0,1,FALSE,1.02E-07,47213.06151,3602848.914,3608638.834,2524.318173,0.150658772,0,,,,,,initial climb,,,2
12,22233.16298,60.6338039,228.9861866,1430.38725,9.59105062,84,1,0.178641958,59.96927946,1.652253134,0.108840611,14362.70741,1,0,1,FALSE,1.01E-07,47176.12585,3602848.914,3609537.607,2523.42734,0.150497591,0,,,,,,initial climb,,,2
13,22232.43178,60.68703082,247.1678533,1550.284121,10.32112833,86,1,0.178835645,59.96927946,1.652198796,0.108835231,14361.9975,1,0,1,FALSE,1.01E-07,47139.12492,3602848.914,3610415.159,2522.531736,0.150336088,0,,,,,,initial climb,,,2
14,22231.70171,60.74031641,265.3460997,1670.28918,11.05009332,88,1,0.179029586,59.96927946,1.65214454,0.10882986,14361.28869,1,0,1,FALSE,1.01E-07,47102.0587,3602848.914,3611271.541,2521.631348,0.150174262,0,,,,,,initial climb,,,2
15,22230.97274,60.7936606,283.5208701,1790.402551,11.77795038,90,1,0.17922378,59.96927946,1.652090367,0.108824497,14360.581,1,0,1,FALSE,1.01E-07,47064.92716,3602848.914,3612106.805,2520.726165,0.150012113,0,,,,,,initial climb,,,2
16,22230.24488,60.84706329,301.6921086,1910.624357,12.50470429,92,1,0.179418227,59.96927946,1.652036277,0.108819142,14359.8744,1,0,1,FALSE,1.01E-07,47027.73027,3602848.914,3612921.003,2519.816175,0.149849642,0,,,,,,initial climb,,,2
17,22229.51813,60.90052441,319.8597591,2030.954723,13.23035982,94,1,0.179612927,59.96927946,1.651982268,0.108813796,14359.16889,1,0,1,FALSE,1.01E-07,46990.46801,3602848.914,3613714.185,2518.901369,0.149686847,0,,,,,,initial climb,,,2
