,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time
0,22246.07867,60,10.668,0,0.743837491,60,1,0.176338689,59.96927946,1.653212962,0.108935667,14375.2511,1,0,1,FALSE,1.03E-07,47548.04595,3597344.216,3597344.216,2530.246276,0.152057525,0,,,,,,,,,2
1,22245.33484,60.0523965,28.84466837,118.6153815,1.486737615,62,1,0.176528884,59.96927946,1.653157684,0.108930191,14374.52848,1,0,1,FALSE,1.03E-07,47525.71027,3598477.019,3598477.019,2530.142308,0.151963537,0,,,,,,initial climb,,,2
2,22244.59194,60.1048739,47.02605162,237.3360562,2.228699654,64,1,0.176719412,59.96927946,1.653102475,0.108924722,14373.8068,1,0,1,FALSE,1.03E-07,47503.00917,3599588.606,3599588.606,2530.01877,0.151867856,0,,,,,,initial climb,,,2
3,22243.84997,60.15743181,65.21195356,356.1622168,2.969722921,66,1,0.176910271,59.96927946,1.653047336,0.10891926,14373.08606,1,0,1,FALSE,1.03E-07,47479.94373,3600678.989,3600678.989,2529.875681,0.151770487,0,,,,,,initial climb,,,2
4,22243.10895,60.21006982,83.40217781,475.094055,3.709806765,68,1,0.177101461,59.96927946,1.652992267,0.108913806,14372.36625,1,0,1,FALSE,1.03E-07,47456.51502,3601748.183,3601748.183,2529.713061,0.151671437,0,,,,,,initial climb,,,2
5,22242.36887,60.26278752,101.5965279,594.1317619,4.448950569,70,1,0.177292979,59.96927946,1.652937268,0.108908358,14371.64738,1,0,1,FALSE,1.03E-07,47432.72414,3602796.205,3602796.205,2529.530928,0.151570708,0,,,,,,initial climb,,,2
6,22241.62972,60.3155845,119.7948072,713.2755274,5.186954205,72,1,0.177484825,59.96927946,1.652882339,0.108902917,14370.92945,1,0,1,FALSE,1.02E-07,47396.82738,3602848.914,3603823.069,2528.702699,0.15141446,0,,,,,,initial climb,,,2
7,22240.89172,60.36844169,137.9903977,832.5265208,5.923811691,74,1,0.177676929,59.96927946,1.652827494,0.108897486,14370.21265,1,0,1,FALSE,1.02E-07,47360.2287,3602848.914,3604828.444,2527.835826,0.151254971,0,,,,,,initial climb,,,2
8,22240.15486,60.421358,156.1828977,951.8849221,6.659527872,76,1,0.177869287,59.96927946,1.652772735,0.108892062,14369.49698,1,0,1,FALSE,1.02E-07,47323.56495,3602848.914,3605812.358,2526.96424,0.151095159,0,,,,,,initial climb,,,2
9,22239.41915,60.47433336,174.3722526,1071.350856,7.394107585,78,1,0.1780619,59.96927946,1.65271806,0.108886648,14368.78245,1,0,1,FALSE,1.02E-07,47286.8361,3602848.914,3606774.862,2526.087931,0.150935026,0,,,,,,initial climb,,,2
10,22238.68457,60.52736768,192.5584078,1190.924447,8.127555659,80,1,0.178254767,59.96927946,1.65266347,0.108881241,14368.06905,1,0,1,FALSE,1.02E-07,47250.0421,3602848.914,3607716.007,2525.206887,0.15077457,0,,,,,,initial climb,,,2
