,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time
0,22500.771279459095,60.0,10.668,0.0,0.7438374906012237,60.0,1,0.17633868880182274,59.969279456360205,1.6721403926594962,0.11082165703751816,14624.128089210744,1.0,0.0,1.0,False,1.0338703303493353e-07,47548.04595411976,3597344.2160289474,3597344.2160289474,2530.2462759720142,0.14920845345532732,0.0,,,,,,,,,2.0
1,22500.027441968494,60.051421509736855,28.50665128922288,118.66668664870316,1.4867550511238754,62.0,1,0.17652534441889514,59.969279456360205,1.6720851145226647,0.11081611701830858,14623.397023165498,1.0,0.0,1.0,False,1.032272632449893e-07,47526.128910988475,3598456.1499004634,3598456.1499004634,2530.1444197615124,0.14911736994016572,0.0,,,,,,initial climb,,,2.0
2,22499.284524407973,60.102920735354616,46.349772835240074,237.43669934068868,2.2287519912221585,64.0,1,0.17671231978235197,59.969279456360205,1.6720299047502563,0.11081058403732842,14622.6668858915,1.0,0.0,1.0,False,1.030680815388086e-07,47503.85999424125,3599547.643752816,3599547.643752816,2530.023715014933,0.14902467533253538,0.0,,,,,,initial climb,,,2.0
3,22498.542527467875,60.15449729246206,64.19717752487972,356.3102223368778,2.969827653269657,66.0,1,0.1768996136419831,59.969279456360205,1.6719747633935722,0.11080505809902563,14621.937677975713,1.0,0.0,1.0,False,1.0290948884228425e-07,47481.24021567653,3600618.7105994043,3600618.7105994043,2529.88417943768,0.14893037406281895,0.0,,,,,,initial climb,,,2.0
4,22497.801451805826,60.206150793956276,82.04867811467489,475.2874390833114,3.7099814122006665,68.0,1,0.17708722473667265,59.969279456360205,1.6719196905014864,0.11079953920760505,14621.209399972993,1.0,0.0,1.0,False,1.0275148605456328e-07,47458.270603033525,3601669.364363117,3601669.364363117,2529.7258316147754,0.14883447063500352,0.0,,,,,,initial climb,,,2.0
5,22497.061298046894,60.25788085003303,99.90408723931347,594.3685322034629,4.449212675349193,70.0,1,0.1772751517944243,59.969279456360205,1.671864686120449,0.11079402736702886,14620.482052406209,1.0,0.0,1.0,False,1.0259407404805974e-07,47434.952199893196,3602699.619873936,3602699.619873936,2529.5486910089476,0.14873696962624047,0.0,,,,,,initial climb,,,2.0
6,22496.322066783745,60.30968706819726,117.76321742009979,713.5536834905794,5.187344571564769,72.0,1,0.17746339353238655,59.969279456360205,1.6718097502945042,0.1107885225810184,14619.755635766425,1.0,0.0,1.0,False,1.0243725366847021e-07,47400.90930699284,3602848.91375788,3603709.4928664374,2528.799186496972,0.14859083978010268,0.0,,,,,,initial climb,,,2.0
7,22495.58393488753,60.36155274614132,135.62027016908013,832.8439139546691,5.924351089400948,74.0,1,0.1776518893857492,59.969279456360205,1.671754896167797,0.1107830261659109,14619.030323758716,1.0,0.0,1.0,False,1.0228107471032669e-07,47365.000022616,3602848.91375788,3604698.692384762,2527.9490179948775,0.1484362277870147,0.0,,,,,,initial climb,,,2.0
8,22494.846928369694,60.41347498615291,153.47422001488187,952.2394945873056,6.66023690471862,76.0,1,0.17784062892604655,59.969279456360205,1.6717001256733637,0.11077753831456504,14618.306141832885,1.0,0.0,1.0,False,1.0212554466378124e-07,47329.02833682858,3602848.91375788,3605667.210321098,2527.0943189514364,0.1482813102337101,0.0,,,,,,initial climb,,,2.0
9,22494.111042554377,60.4654537121008,171.32501500527061,1071.740544615417,7.395006685587999,78.0,1,0.17802961197598816,59.969279456360205,1.6716454384637165,0.1107720589913241,14617.583085283657,1.0,0.0,1.0,False,1.0197066244765068e-07,47292.994222109635,3602848.91375788,3606615.094369179,2526.2350786604106,0.14812608704076757,0.0,,,,,,initial climb,,,2.0
10,22493.37627277351,60.51748884667737,189.172603006701,1191.3471831141728,8.12866509225773,80.0,1,0.17821883835379124,59.969279456360205,1.6715908341919496,0.11076658816059567,14616.861149414213,1.0,0.0,1.0,False,1.0181642697646507e-07,47256.89765182237,3602848.91375788,3607542.3924034266,2525.3712864420886,0.14797055813263651,0.0,,,,,,initial climb,,,2.0
