,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time
0,23553.575504764103,60.0,10.668,0.0,0.7438374906012237,60.0,1,0.17633868880182274,59.969279456360205,1.750379331619877,0.11885030321818238,15683.59564517083,1.0,0.0,1.0,False,1.0338703303493353e-07,47548.04595411976,3597344.2160289474,3597344.2160289474,2530.2462759720142,0.13795228920166533,0.0,,,,,,,,,2.0
1,23552.8316672735,60.04756572224961,27.169817701533542,118.85995966912219,1.486824007168968,62.0,1,0.17651134694210238,59.969279456360205,1.7503240534830455,0.1188444984699097,15682.82964523422,1.0,0.0,1.0,False,1.0323921465958008e-07,47527.78339503894,3598373.5396363693,3598373.5396363693,2530.152705470686,0.1378722359117817,0.0,,,,,,initial climb,,,2.0
2,23552.088680756933,60.095197171464775,43.67519469074112,237.81546869294033,2.228958971189736,64.0,1,0.176684275869773,59.969279456360205,1.7502688385861809,0.11883870054917389,15682.064546265685,1.0,0.0,1.0,False,1.030919019558317e-07,47507.220004003386,3599385.3539472264,3599385.3539472264,2530.04300617106,0.13779086619741426,0.0,,,,,,initial climb,,,2.0
3,23551.346545792912,60.14289402416959,60.183977109355254,356.86668034306916,2.9702418303808895,66.0,1,0.17685747452393852,59.969279456360205,1.7502136869722777,0.11883290945984828,15681.300348776327,1.0,0.0,1.0,False,1.0294509568292307e-07,47486.3566028036,3600379.669733603,3600379.669733603,2529.9171928703104,0.13770818349535166,0.0,,,,,,initial climb,,,2.0
4,23550.60526293372,60.19065595483439,76.69601100984596,476.0137472095222,3.710672058572988,68.0,1,0.1770309418354161,59.969279456360205,1.7501585986823764,0.1188271252056011,15680.537053250233,1.0,0.0,1.0,False,1.0279879657977852e-07,47465.19402523888,3601356.4984560716,3601356.4984560716,2529.7752810301695,0.1376241912953759,0.0,,,,,,initial climb,,,2.0
5,23549.864832705527,60.238482635883756,93.2111423615861,595.2568211950905,4.450249155590481,70.0,1,0.1772046767267561,59.969279456360205,1.7501035737555801,0.11882134778989734,15679.774660144634,1.0,0.0,1.0,False,1.0265300536502143e-07,47443.73311704626,3602315.8522619396,3602315.8522619396,2529.617286775505,0.13753889313996037,0.0,,,,,,initial climb,,,2.0
6,23549.12525560851,60.28637373770475,109.72921705702356,714.5960535097431,5.188888830619965,72.0,1,0.1773786781122635,59.969279456360205,1.7500486122290604,0.11881557721599956,15679.013169890059,1.0,0.0,1.0,False,1.0250772273698548e-07,47417.04277077806,3602848.91375788,3603257.7439834327,2529.1801605473106,0.1374309363966336,0.0,,,,,,initial climb,,,2.0
7,23548.38661593348,60.33432152040953,126.24753022152439,834.0319474611359,5.926485473304911,74.0,1,0.17755291797430725,59.969279456360205,1.7499937203668696,0.11880981414091765,15678.252669186155,1.0,0.0,1.0,False,1.0236297168448428e-07,47383.85649771731,3602848.91375788,3604182.0457663187,2528.3958336080404,0.1372948337969466,0.0,,,,,,initial climb,,,2.0
8,23547.649019290795,60.38231627496925,142.76271233930876,953.5650816663806,6.66304311888587,76.0,1,0.17772736111650453,59.969279456360205,1.7499389060174235,0.11880405938791203,15677.493266671107,1.0,0.0,1.0,False,1.0221878063888992e-07,47350.61785706726,3602848.91375788,3605088.605155125,2527.6076593429093,0.13715848505316985,0.0,,,,,,initial climb,,,2.0
9,23546.912461645214,60.43035793151272,159.274720645319,1073.1955546096233,7.398565796213359,78.0,1,0.1779020073606957,59.969279456360205,1.7498841688808429,0.11879831292472079,15676.734958087609,1.0,0.0,1.0,False,1.0207514871339922e-07,47317.326835499254,3602848.91375788,3605977.4613083038,2526.815629715815,0.1370218901444886,0.0,,,,,,initial climb,,,2.0
