,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time
0,23654.22465998235,60.0,10.668,0.0,0.7465798284469073,60.0,0.0,1,0.17633868880182274,59.969279456360205,1.754769217161719,0.11928582123505527,15768.784225020183,1.0,0.0,1.0,False,1.0338703303493353e-07,47705.718394137475,3610606.700526191,3610606.700526191,2538.636738632944,0.13767777229305297,0.0,,,,,,,,,2.0
1,23653.478080153902,60.047471614000415,27.13718801147257,118.86448521843171,1.4923072348025648,62.0,0.0,1,0.17651100530816674,59.969279456360205,1.7547138327506913,0.11927999082208557,15768.013483593331,1.0,0.0,1.0,False,1.032395064160839e-07,47685.54461711861,3611637.793724859,3611637.793724859,2538.54920711296,0.13759847014799675,0.0,,,,,,initial climb,,,2.0
2,23652.732352747546,60.09500884341328,43.60997262012664,237.82432195408646,2.237181638017498,64.0,0.0,1,0.1766835920696776,59.969279456360205,1.754658511575896,0.11927416725352069,15767.243646950814,1.0,0.0,1.0,False,1.0309248301480193e-07,47665.07038992072,3612651.38559125,3612651.38559125,2538.445575091168,0.13751785883963208,0.0,,,,,,initial climb,,,2.0
3,23651.98747834433,60.14261136735674,60.08620093334808,356.87966308639466,2.9812024832080484,66.0,0.0,1,0.17685644803450717,59.969279456360205,1.7546032536804368,0.11926835053325553,15766.474715607523,1.0,0.0,1.0,False,1.0294596359037114e-07,47644.2965271287,3613647.4867099156,3613647.4867099156,2538.325857077878,0.1374359417591957,0.0,,,,,,initial climb,,,2.0
4,23651.24345749914,60.19027886290789,76.56571996794735,476.0306608192207,3.7243692415396543,68.0,0.0,1,0.17702957214257548,59.969279456360205,1.754548059105479,0.11926254066498118,15765.706690051376,1.0,0.0,1.0,False,1.0279994888193387e-07,47623.2238552839,3614626.1083511617,3614626.1083511617,2538.1900682443033,0.13735272235046053,0.0,,,,,,initial climb,,,2.0
5,23650.500290740805,60.238011005110955,93.04837665625982,595.2774666752841,4.4666814101084915,70.0,0.0,1,0.17720296332559174,59.969279456360205,1.7544929278902528,0.11925673765218509,15764.939570743405,1.0,0.0,1.0,False,1.0265443960850002e-07,47601.853212813556,3615587.262469319,3615587.262469319,2538.03822442116,0.13726820410943716,0.0,,,,,,initial climb,,,2.0
6,23649.757978572237,60.28580746698533,109.534017852253,714.6202314906027,5.208056654133194,72.0,0.0,1,0.1773766205070744,59.969279456360205,1.7544378600720656,0.11925094149815264,15764.173358117916,1.0,0.0,1.0,False,1.0250943646895773e-07,47575.37063552452,3616131.692662305,3616530.961700955,2537.613525637962,0.13716163035326417,0.0,,,,,,initial climb,,,2.0
7,23649.01660332821,60.33366071794806,126.02001075549715,834.0594476877122,5.9483870195302915,74.0,0.0,1,0.17755051642979053,59.969279456360205,1.7543828617588562,0.11924515284510206,15763.408137071832,1.0,0.0,1.0,False,1.0236496183191332e-07,47542.25731775438,3616131.692662305,3617457.0813918216,2536.8344517454952,0.13702644927215205,0.0,,,,,,initial climb,,,2.0
8,23648.276272962816,60.38156089002596,142.50293090680125,953.5957007902736,6.687676537787019,76.0,0.0,1,0.1777246153198148,59.969279456360205,1.7543279409591093,0.11923937253519575,15762.64401893337,1.0,0.0,1.0,False,1.0222104462578912e-07,47509.091710355315,3616131.692662305,3618365.4649232714,2536.051543023671,0.13689102343755244,0.0,,,,,,initial climb,,,2.0
9,23647.53698344456,60.429507914535314,158.98273589749243,1073.2290891462524,7.4259292340401135,78.0,0.0,1,0.17789891700313115,59.969279456360205,1.7542730973737513,0.11923360053617672,15761.880999438386,1.0,0.0,1.0,False,1.0207768397250637e-07,47475.87379920594,3616131.692662305,3619256.1512263,2535.2647914230347,0.13675535282523804,0.0,,,,,,initial climb,,,2.0
